article_no,title,url,date,,label (현),label (준환),label (성훈),"카테고리 몇개, 뭐로 할지 정하기: 장학, 졸업, 학사",,,
153375,AIS Lab 학부연구원 및 대학원 지원자 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=153375&article.offset=0&articleLimit=10,2026.06.23,대학원/연구,대학원/연구,취업/인턴,대학원/연구,각 카테고리의 기준 쓰기,,,
152827,[중요] 출석인정승인 요청서 제출 마감 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152827&article.offset=0&articleLimit=10,2026.06.09,학사,학사,학사,학사,,,,
152645,2026년 랜선나눔캠퍼스(AI코딩 학습멘토링) 대학생 선발 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152645&article.offset=0&articleLimit=10,2026.06.04,학생활동,학생활동,학생활동,교육,,,,
152634,2026학년도 1학기 학생 포상 대상자 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152634&article.offset=0&articleLimit=10,2026.06.04,장학/근로,장학,장학,장학,,,,
152326,오승환 및 동문장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152326&article.offset=0&articleLimit=10,2026.05.29,장학/근로,장학,장학,장학,,,,
152306,"2026학년도 신입생, 편입생 기념품(텀블러) 지급 안내",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152306&article.offset=0&articleLimit=10,2026.05.29,기타,기타,기타,행정,,준환,,
152192,<생성형 AI부터 Physical AI까지! PHM KOREA 2026 튜토리얼 참가자 모집>,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152192&article.offset=0&articleLimit=10,2026.05.27,학생활동,학생활동,학생활동,교육,,"학사, 장학 졸업, 취업/인턴, 학생활동, 대회/공모전,기타",,
152108,2026-2학기 교내장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152108&article.offset=0&articleLimit=10,2026.05.22,장학/근로,장학,장학,장학,,,,
152008,2026-1학기 정기상담 기간 및 상담일지 제출 안내 (일부 학부 대상 교내장학금 필수 요건),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152008&article.offset=0&articleLimit=10,2026.05.21,학사,학사,학사,학사,,학사:,"수강신청, 성적, 출석, 시험(중간/기말), 학적 변동(복수전공/주전공 변경/자퇴), 기자재 대여/반납, 서버 이용 안내, 학과 행정 전반(지도교수 면담, 메일 변경, 카카오톡 공지방 등)까지 넓게 학사로 분류.",
151967,서울대학교 융합과학기술대학원 2026학년도 하계 융합연구프로그램,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151967&article.offset=0&articleLimit=10,2026.05.20,대학원/연구,대학원/연구,학생활동,대학원/연구,,,,
151853,2026학년도 1학기 졸업 프로젝트 전시회 일정,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151853&article.offset=10&articleLimit=10,2026.05.18,졸업,졸업,졸업,졸업,,장학:,"장학금 신청, 교내외 장학생 선발, 학생 포상, 사회봉사활동 실적 등록(장학 연계), 근로장학(수업도우미/계절학기 도우미), 장학 관련 기준 변경 공지까지 장학으로 분류",
151824,[필독] 2026-1학기 기말고사 일정 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151824&article.offset=10&articleLimit=10,2026.05.18,학사,학사,학사,학사,,,,
151816,학사학위취득유예 신청 일정 안내(2026년 8월 졸업대상자),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151816&article.offset=10&articleLimit=10,2026.05.18,졸업,졸업,졸업,졸업,,졸업:,"졸업프로젝트 수강신청, 졸업예정자 전공명 선택, 조기졸업, 학위취득유예, 졸업앨범, 졸업전시회 같이 졸업이라는 단어가 직접 들어가고 졸업과 가까운 애들",
151629,2025학년도 후기(2026년 8월) 졸업예정자 전공명 선택 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151629&article.offset=10&articleLimit=10,2026.05.11,졸업,졸업,졸업,졸업,,,,
151520,『 2026년 SW중심대학 AI·블록체인 비즈니스 모델 경진대회 』개최,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151520&article.offset=10&articleLimit=10,2026.05.07,대회/공모전,대회·공모전,대회·공모전,대회/공모전,,취업/인턴:,"외부 기업 채용/인턴십, 교내외 연구실 학부연구원 모집, 직무박람회, 채용설명회. 교내 연구실이든 외부 기관이든 ""일하는 경험""이면 취업/인턴으로 분류 + [취업지원센터]가 붙은 공지 모두 포함",
151438,2026학년도 1학기 사회봉사활동 실적 등록 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151438&article.offset=10&articleLimit=10,2026.05.06,장학/근로,장학,장학,봉사,장학?,,,
151130,2026학년도 여름방학 「서울영커리언스 인턴십」참여자 모집 공고,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151130&article.offset=10&articleLimit=10,2026.04.24,취업/인턴,취업/인턴,학생활동,취업/인턴,,학생활동:,"외부 교육 프로그램 참여, 특강/강연, 봉사단 모집(장학 미연계), 학습지원센터 프로그램, 멘토링, 학술대회 수상 공지, 컨퍼런스 발표 등 참여/경험 제공이 목적인 공지. 학생이 활동하는 프로그램들",
151129,제5회 국제 대학생 EV 자율주행 경진대회,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151129&article.offset=10&articleLimit=10,2026.04.24,대회/공모전,대회·공모전,대회·공모전,대회/공모전,,,,
151059,2026년도 (사)순천중소경영인 연합회 장학생 추천,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=151059&article.offset=10&articleLimit=10,2026.04.23,장학/근로,장학,장학,장학,,대회/공모전:,"대회, contest, 수상 등 대회의 성격을 띠는 단어가 들어간 공지",
150872,"26-1 중간고사 중복으로 인한 사전, 추가시험 안내",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=150872&article.offset=10&articleLimit=10,2026.04.17,학사,학사,학사,학사,,,,
150657,[중요] 교내장학생 선발 위한 사회봉사시간 기준 변경,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=150657&article.offset=20&articleLimit=10,2026.04.13,장학/근로,장학,장학,장학,봉사?,기타:,"위 카테고리 어디에도 명확히 안 맞는 것. 예비군, 도서관 신문잡지 안내, 병무 관련처럼 학과 행정과 거리가 먼 것들.",
150573,HACK 해킹방어대회 개최 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=150573&article.offset=20&articleLimit=10,2026.04.09,대회/공모전,대회·공모전,대회·공모전,대회/공모전,,,,
150127,[필독] 2026-1학기 중간고사 일정 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=150127&article.offset=20&articleLimit=10,2026.03.26,학사,학사,학사,학사,,[필독]이라고 쓰여져 있는 공지사항은 새로운 카테고리로 두기보다는 나중에 코드 작성할 때 컬럼을 만들어서 필독공지 알림을 설정할 수 있도록 하기,,
150029,[전학년 필독] 수업공결 인정 기준 및 출석인정승인 요청서 작성 매뉴얼 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=150029&article.offset=20&articleLimit=10,2026.03.24,학사,학사,학사,학사,, [필독]이라고 쓰여져 있는 애들이 애매한 경우가 많음.,,
149842,[컴퓨터공학과] 자퇴 절차 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=149842&article.offset=20&articleLimit=10,2026.03.18,학사,학사,학사,학사,,,,
149759,미래인재센터 제 1관 입반생 모집공고,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=149759&article.offset=20&articleLimit=10,2026.03.16,취업/인턴,취업/인턴,학생활동,취업/인턴,,,,
149720,2026-1학기 학습튜터링 프로그램 안내(16일 밤 11시까지 신청),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=149720&article.offset=20&articleLimit=10,2026.03.16,학생활동,학생활동,학생활동,교육,장학?,,,
149620,"2026-1학기 Linux 실습 서버 이용 안내 (C-프로그래밍-이장호PF, 프로그래밍언어론-송하윤PF&정예원PF, 컴퓨터네트워크-박준상PF, 컴퓨터그래픽스-박재영PF)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=149620&article.offset=20&articleLimit=10,2026.03.12,학사,학사,학사,학사,,,,
149286,[필독] 2026학년도 컴퓨터공학과 전공교과과정 개편 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=149286&article.offset=20&articleLimit=10,2026.03.05,학사,학사,학사,학사,,,,
149071,컴퓨터공학과 학과사무실 및 멀티미디어실 봉사도우미 모집(마감되었습니다),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=149071&article.offset=20&articleLimit=10,2026.03.02,장학/근로,장학,학생활동,근로,장학?,,,
149070,"[필독] 컴퓨터공학과 2026년 1학기 기자재 대여 안내(3월 3일 오후 6시, 7시 신청 진행 예정)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=149070&article.offset=30&articleLimit=10,2026.03.02,학사,학사,학사,행정,,,,
148975,[필독] 2026-2학기 컴퓨터공학과 교내장학생 선발 기준 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=148975&article.offset=30&articleLimit=10,2026.02.26,장학/근로,장학,장학,장학,,,,
148325,"26-1학기 졸업프로젝트(종합, AIML) 2 수강신청 안내(~2/15 일23:59)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=148325&article.offset=30&articleLimit=10,2026.02.09,졸업,졸업,졸업,졸업,,,,
147985,"26-1학기 졸업프로젝트(창직, AIML) 1 수강신청 안내(~2/8 일23:59)",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=147985&article.offset=30&articleLimit=10,2026.01.30,졸업,졸업,졸업,졸업,,,,
147871,2026학년도 「교직과정 이수신청서」 접수 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=147871&article.offset=30&articleLimit=10,2026.01.27,학사,학사,학사,학사,,,,
147117,2026년 컴퓨터공학과 학년별 카카오톡 공지방 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=147117&article.offset=30&articleLimit=10,2026.01.06,학사,학사,학사,행정,,,,
