article_no,title,url,date,body_text,has_table,has_image,image_count,ocr_applied,text_length,ocr_partial,ocr_image_total,ocr_image_success
153851,"2026학년도 2학기 주전공 신청 및 변경, 자율전공 학생의 학과진입 신청 안내",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=153851&article.offset=0&articleLimit=10,2026.07.06,"2026
학년도 2
학기 주전공 신청 및 변경
,
자율전공 학생의 학과진입 신청 안내
세부 전공이 있는 학부
(
경영학부
,
경제학부
,
법학부
,
전자전기공학부 제외
)
,
미술대학 자율전공
,
캠퍼스자율전공학생의 주전공 및 학과진입 신청을 아래와 같이 안내합니다
.
[
공통 사항
]
1.
신청 기간
: 2026. 7. 7.(
화
) 10:00 ~ 7. 13.(
월
) 16:00 (
신청 기간 준수
,
마감시간 이후 신청 불가
)
2.
승인 절차
:
승인은 아래
2
단계에 걸쳐 결정됨
(1
단계
)
학과 심사
(
필요시 면접
,
상담 등을 진행할 수 있음
)
※
면접
,
상담을 진행하는 학과는 신청서 접수 후 면접
(
상담
)
일시를 개별 안내함
※
심사 기간에 학생의 전 학년 성적정보를 지원학과에 제공함
.
이는 심사 자료로만 활용되며 심사 기간 종료 후에는 열람할 수 없음
(2
단계
)
1
단계 합격자 중
,
신청 자격
(
학적 변동
)
추가 검증
※
1
차 복학 신청 기간
(2026.7.21.(화
)~8.3.(
화
)
예정
)
에 복학 신청을 하지 않은 학생은 미승인됨
※
2026
년 8
월 졸업예정자 또는 학사학위취득유예자는 미승인됨
결과확인
※
2026.8.5.(수
)(
예정
)
이후 클래스넷
→
‘
개인정보
’
→
‘
기본정보
’
메뉴에서 최종 결과 확인 가능
-
기본정보 메뉴에 전공명이 기재되어 있으면
“
승인
”
이며
,
아닌 경우는
“
미승인
”
3.
관련 문의
:
서울캠퍼스 학사지원팀
(02)320-1088),
세종캠퍼스 교무입시팀
(044)860-2460)
※
학과 심사
,
졸업요건 관련 사항은 각 학과사무실로 문의하여야 함
[
학부 또는 미술대학 자율전공 소속 학생의 주전공 신청
]
1.
신청 대상
:
학부 또는 미술대학 자율전공 소속 학생 중
2
학년 이상
(
두 학기 이상 이수
)
의 재학생 또는
2026
학년도 2
학기 복학 예정자
※
복학 예정자는
1
차 복학 신청 기간에 복학 신청을 하여 승인을 받아야 함
.
※
주전공을 선택하지 않은 학생은 졸업이 불가함
. 7
학기 이상 이수한 학생은 주전공 신청을 권고함
2.
신청 방법
:
클래스넷
→
주전공
(
캠자제외
)
→
주전공 신청
(
캠자 제외
)
※
신청 기간 중 신청메뉴에서 신청 내용을 확인하고
,
취소 또는 변경이 가능함
3.
기타 안내
가
.
미술대학 자율전공 소속 학생의 주전공이 승인되면
,
승인된 학과로 소속이 변경되며 이후 미술대학 자율전공으로 복귀할 수 없음
나
.
학과 명칭 변경
,
전공 폐지 등의 학과 개편이 이루어지기 전 해당 학과 소속 학생은 졸업 학기에 학생의
희망에 따라 전공명을 선택할 수 있음
개정 전 학부
(
전공
)
개정 후 학부
(
전공
)
•
공과대학 정보
․
컴퓨터공학부 컴퓨터공학전공
•
공과대학 컴퓨터
․
데이터공학부 컴퓨터공학전공
•
공과대학 컴퓨터공학과
•
공과대학 컴퓨터
․
데이터공학부 컴퓨터공학전공
•
공과대학 컴퓨터공학과
•
공과대학 건설도시공학부 도시공학전공
•
건축도시대학 도시공학과
•
건축대학 건축학부 건축학전공
•
건축도시대학 건축학부 건축학전공
•
건축대학 건축학부 실내건축학전공
•
건축도시대학 건축학부 실내건축학전공
•
법과대학 공법
(
공공서비스법
)
전공
•
법과대학 사법
(
비즈니스
.
정보법
)
전공
•
법과대학 법학부
•
디자인경영융합학부
•
디자인
․
예술경영학부 디자인경영전공
[
학부 학생의 주전공 변경
]
1.
대상
가
.
학부로 입학하여 주전공을 정한 학생 중 변경을 희망하는 재학생 또는
2026
학년도 2
학기 복학 예정자
나
.
건축학전공
(5
년제
)
으로 입학한 학생 중 실내건축학전공
(4
년제
)
으로 변경을 희망하는
2
학년 이상
(
두 학기 이상 이수
)
의 재학생 또는
2026
학년도
1
학기 복학 예정자
.
단
,
주전공 변경 승인 이후 번복이 불가함
※
복학 예정자는
1
차 복학 신청 기간에 복학 신청을 하여 승인을 받아야 함
※
2026
년
2
월 졸업예정자 및 학사학위취득유예 학생은 신청이 불가함
2.
신청 방법
가
. ‘
주전공 변경 신청원
’
(
붙임양식 활용
)
을 작성하여
나
.
주전공 변경 전
·
후 전공 주임교수님 등의 날인받아
‘
변경 후 전공사무실
’
에 제출
※
변경 전
/
후 전공이 공학인증 심화 과정
(
신소재공학전공
,
산업데이터공학과
,
건설환경공학과
)
인 학생은 공학교육혁신센터
(
서울캠퍼스
:
제
1
공학관
(K
동
) 2
층
,
세종캠퍼스
:
공학
2
관
(D
동
) 2
층
)
의 확인 날인을 받아야 함
[
캠퍼스자율전공 학생의 주전공 신청
/
변경 및 학과진입
]
캠퍼스자율전공 소속 학생은 주전공 또는 학과진입 신청을 할 수 있음
.
주전공 선택 또는 학과진입을 해야 졸업이 가능하므로
7
학기 이상 이수한 학생은 주전공 또는 학과진입 신청을 권고함
□
주 전 공
:
개별 학부
(
과
)/
전공으로 진입하지 않고 캠퍼스자율전공 소속으로 캠퍼스 내 학부
(
과
)/
전공을 주전공으로 선택하여 학위를 취득할 수 있음
.
학위를 취득하고자 하는 전공의 졸업에 필요한 교과목 이수 요건과 기타 졸업에 필요한 일반 요건을 충족한 캠퍼스자율전공 학생에게 해당 전공의 학위를 수여함
.
주전공은 재학 중 최대
2
회까지 변경을 허용함
신청대상
가
.
캠퍼스자율전공 소속 학생 중
2
학년 이상
(
두 학기 이상 이수
)
의 재학생 또는
2026
학년도 2
학기 복학 예정자
나
.
캠퍼스자율전공으로 입학하여 주전공을 정한 학생 중 주전공 변경을 희망하는 재학생 또는
2026
학년도 2
학기 복학 예정자
※
복학 예정자는
1
차 복학 신청 기간에 복학 신청을 하여 승인을 받아야 함
※
2026
년 8
월 졸업예정자 및 학사학위취득유예 학생은 신청이 불가함
※
재학 중 최대
2
회까지 주전공 변경을 허용함
2.
신청방법
가
.
주전공 신청
/
변경
:
클래스넷
→
캠자 주전공
/
학과진입
/
희망전공
→
캠자 주전공
3.
기타 안내
가
.
캠퍼스자율전공 소속 학생이 휴학 학기에 공학
·
예능계열 기준으로 등록금을 미리 납부하고 복학하면서
인문
·
사회계열로 학과진입을 한 학생의 등록금 차액은 복학 학기 개강 이후 반환됨
나
.
공연예술학부 뮤지컬전공
(
연출
),
실용음악전공
(
싱어송라이터
)
으로 학과진입을 하는 학생은 등록금 차액을 추가로 납부해야 함

[표 내용]
0: 2026학년도 2학기 주전공 신청 및 변경, 자율전공 학생의 학과진입 신청 안내
0: 개정 전 학부(전공), 1: 개정 후 학부(전공)
0: • 공과대학 정보․컴퓨터공학부 컴퓨터공학전공, 1: • 공과대학 컴퓨터․데이터공학부 컴퓨터공학전공 • 공과대학 컴퓨터공학과
0: • 공과대학 컴퓨터․데이터공학부 컴퓨터공학전공, 1: • 공과대학 컴퓨터공학과
0: • 공과대학 건설도시공학부 도시공학전공, 1: • 건축도시대학 도시공학과
0: • 건축대학 건축학부 건축학전공, 1: • 건축도시대학 건축학부 건축학전공
0: • 건축대학 건축학부 실내건축학전공, 1: • 건축도시대학 건축학부 실내건축학전공
0: • 법과대학 공법(공공서비스법)전공 • 법과대학 사법(비즈니스.정보법)전공, 1: • 법과대학 법학부
0: • 디자인경영융합학부, 1: • 디자인․예술경영학부 디자인경영전공",True,False,0,False,3540,,,
153849,2025학년도 후기(2026년 8월) 졸업예정자 전공명 선택 안내(2차),https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=153849&article.offset=0&articleLimit=10,2026.07.06,"학과 명칭 변경
,
전공 폐지 등의 학과 개편이 이루어지기 전에 해당 학과에 재적 중이던 학생은 졸업 시 희망에 따라 개정 전 또는 개정 후 학칙을 적용받아 전공명을 선택할 수 있습니다
.
이에
,
전공명 변경 신청 방법 및 학과 승인 방법을 다음과 같이 안내해 드리오니 변경을 희망하는 학생은 다음의 절차에 따라 신청하도록 지도하여 주시고, 학과는 기한 내 학과 클래스넷을 통해 이를 승인하여 주시기 바랍니다
.
-  다        음
-
1.
신청 대상자 및 기간
가
.
대상
:
관련 학칙
(
부칙
)
에 따라 해당하는 학과 재학생 중
금학기 졸업 예정자
또는
학사학위취득유예 신청 예정자
개정 전 학부
(
전공
)
개정 후 학부
(
전공
)
법과대학 법학과
법과대학 공법
(
공공서비스법
)
전공
법과대학 사법
(
비즈니스
·
정보법
)
전공
법과대학 법학부
디자인경영융합학부
디자인
·예술경영학부 디자인경영전공
공과대학 정보
·
컴퓨터공학부 컴퓨터공학전공
공과대학 컴퓨터
·
데이터공학부 컴퓨터공학전공
공과대학 컴퓨터공학과
공과대학 컴퓨터
·
데이터공학부
컴퓨터공학전공
공과대학 컴퓨터공학과
공과대학 건설
·
도시공학부 도시공학전공
건축도시대학 도시공학과
건축대학 건축학부 건축학전공
건축도시대학 건축학부 건축학전공
건축대학 건축학부 실내건축학전공
건축도시대학 건축학부 실내건축학전공
나
.
2
차 신청 기간
1)
기간
:
7.6.(월
) 9:00 ~ 7.13.(월
) 16:00 <기한엄수>
2)
대상자
: 2025
학년도 후기
(2026
년 8
월
)
졸업 대상자
2.
학생 신청 및 학과 승인 방법
가
.
학생 신청 방법
:
학생 클래스넷
→
졸업 정보
→
졸업예정자 전공명 선택
→
신청
3.
유의 사항
가
.
기한 내 미신청 시 현재 이수 중인 전공명으로 졸업사정이 진행됩니다
.
나
.
금 학기에 졸업하지 않아도 전공명 변경이 승인된 이후로는 기존의 학과
/
전공명으로
원복 되지 않습니다
.

[표 내용]
0: 개정 전 학부(전공), 1: 개정 후 학부(전공)
0: 법과대학 법학과법과대학 공법(공공서비스법)전공 법과대학 사법(비즈니스·정보법)전공, 1: 법과대학 법학부
0: 디자인경영융합학부, 1: 디자인·예술경영학부 디자인경영전공
0: 공과대학 정보·컴퓨터공학부 컴퓨터공학전공, 1: 공과대학 컴퓨터·데이터공학부 컴퓨터공학전공공과대학 컴퓨터공학과
0: 공과대학 컴퓨터·데이터공학부 컴퓨터공학전공, 1: 공과대학 컴퓨터공학과
0: 공과대학 건설·도시공학부 도시공학전공, 1: 건축도시대학 도시공학과
0: 공과대학 건설·도시공학부 도시공학전공, 1: 건축도시대학 도시공학과
0: 공과대학 건설·도시공학부 도시공학전공, 1: 건축도시대학 도시공학과
0: 건축대학 건축학부 건축학전공, 1: 건축도시대학 건축학부 건축학전공
0: 건축대학 건축학부 실내건축학전공, 1: 건축도시대학 건축학부 실내건축학전공",True,False,0,False,1413,,,
153848,2026년 8월 졸업예정자 부전공 및 융합전공 졸업 자격 취득 신청,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=153848&article.offset=0&articleLimit=10,2026.07.06,"부전공, 융합전공을 이수하고 있는 학생 중 2026년 8월에 졸업을 희망하는 학생은 기한 내에 자격취득 신청서를 제출하여 주시기 바랍니다.
1. 신청 대상 : 2026년 8월 졸업예정자 중 부전공/융합전공 이수 승인을 받고 부/융합전공 졸업요건을 충족한 학생
※ 지난 학기에 관련 서류를 제출한 학사학위취득유예자는 제출 대상이 아님
※ 학기초과자는 지난 학기에 관련 서류를 제출했더라도 이번 학기에 다시 제출해야 함
가. 부전공 자격취득 요건
1) 부전공 이수지정과목 21학점 이상 취득
2) 부전공 이수 과목의 평균 평점이 C0(2.0) 이상
나. 융합전공 자격취득 요건
1) 융합전공 이수지정과목 36학점 이상 취득
2) 융합전공별 세부 졸업 자격 충족 (교과과정 참조)
다. 2020학년도 1학기에 “P(Pass)”로 취득한 학점을 포함함
2. 부전공/융합전공 자격취득 신청 절차
가. 신청 기한 : 2026. 7. 10(금) 10:00 ~ 7. 16(목) 16:00까지 (※ 기한 엄수)
나. 제출 서류
1) 부전공 : 클래스넷→복수․부․융합․미세전공→‘부전공 자격취득 확인서’ 출력
2) 융합전공 : ‘융합전공 자격취득 신청서’(붙임양식 활용)와 성적증명서(열람용)
※ 증명발급 데스크에 작성한 ‘융합전공 자격취득 신청서’를 제시하면 열람용 성적증명서를 무료 발급받을 수 있음
(서울캠퍼스 : 문헌관1층 학사지원팀, 세종캠퍼스 : 가온관 2층 교무입시팀)
다. 신청 방법 : 제출 서류를 지참하고 부전공 또는 융합전공 학과를 방문하여 자격취득 확인(학과날인)을 받아
주전공학과
(
전공
)
로 최종 제출함
3. 철회신청 : 주전공의 졸업요건을 모두 갖추어 2026년 8월 졸업을 희망하는 학생 중 부전공/융합전공의
자격취득 요건을 갖추지 못한 학생은 클래스넷을 통해 철회 신청을 하여야 함
가. 철회 신청 가능 기간 : 2026.7.1.(금) 10:00~7.13.(월) 16:00까지
나. 메뉴위치 : 클래스넷→복수․부․융합․미세전공→“복수․부․융합․미세전공 이수 현황”
다. 유의사항 : 이 경우 철회 신청을 하지 않으면 2026년 8월 졸업은 불가하며, 철회 신청 기간 종료 후에는 철회한 부전공 또는 융합전공을 이수증으로 원복할 수 없음",False,False,0,False,1092,,,
153847,2026년 8월 조기졸업 신청서 제출 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=153847&article.offset=0&articleLimit=10,2026.07.06,"조기졸업 대상자 중 조기졸업을 희망하는 학생을 대상으로 붙임과 같이 조기졸업 신청서를 접수하여
자격을 심
사하고자 합니다.
1. 신청 자격
가.
2026학년도 1학기 현재 4학년으로,
7학기(5년제 건축학전공은 9학기) 이수 중인 재학
생
(단, 편입생은 신청 불가)
나.
7학기(5년제 건축학전공은 9학기)에 걸쳐 전 학년의 과정을 이수하
고,
평균평점이 A0(4.00) 이상인
학생(계절학기 성적포함)
※ 단, 학·석사연계과정의 경우, 평균평점이 B0(3.0)이상인 학생
(대
학원 수업 6학점 이상 이수 필)
다.
조기졸업 신청자는 학기 중 졸업논문 등 졸업요건을 모
두 이수하여야 함.
2.
제출기간
:
2025. 7. 7.(화) ~ 7. 13.(월) 11
시까지
※
계절학기 성적이 포함되어야 하는 경우, 2025-2학기 성적까지 포함된 성적증명서
를
제출하고
계절학기 수강신청 현황을 추가하여 제출
함.
3. 제출서류
가. 조기졸업신청서 1부
나
.
성적증명서
1
부
(2025
학년도 2학기 성적포함
)
※ 2026.7.7(화) 10시부터 발급(예정)
4.
제출방법
가. 신청학생이 조기졸업신청서 및 성적증명서를 주전공 학과 사무실에 제출
(컴퓨터공학과는 T704 기자재실로 제출)",False,False,0,False,612,,,
153375,AIS Lab 학부연구원 및 대학원 지원자 모집,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=153375&article.offset=0&articleLimit=10,2026.06.23,"AIS Lab 에서 학부연구원 및 대학원 지원자를 모집합니다.
AIS Lab에서는 딥러닝 및 인공지능, 컴퓨터 비전, 의료 영상 관련 다양한 연구 및 R&D 과제를 수행하고 있습니다.
- 홈페이지:
http://ais.hongik.ac.kr
관심있으신 분은 첨부된 지원서를 작성하여 이메일로 보내주시기 바랍니다.
(
학석사연계과정 및 대학원 과정에 관심있으신 분들도 지원해 주시면 감사하겠습니다.)
- 이메일:
taehyung@hongik.ac.kr
(메일 제목에 [연구원 지원] 첨부)
- 모집 분야: 인공지능
- 모집 인원: 2~3명 내외
- 모집 마감: 6/30(화)",False,False,0,False,320,,,
152827,[중요] 출석인정승인 요청서 제출 마감 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152827&article.offset=0&articleLimit=10,2026.06.09,"기말고사가 끝나면 성적입력과 동시에 출결입력이 마감됩니다. 이에따라 학장님까지 승인을 받아야하는 시간을 고려하여 내일까지 ""출석인정승인 요청서"" 제출을 마감합니다.
아직 제출하지 않은 학생은 반드시 내일까지 제출해주시기 바랍니다.
- 제출마감일 : 6월 10일(수) 까지
★ 작성방법은 학과홈페이지에 나와있으니 반드시 참고하시어 작성
★ 수업담당교수님께 반드시 서명 받으신 후에 제출
★ 출석인정승인 요청서와 증빙서류 모두 제출
★ 학과사무실(T703)에 제출 (운영시간: 17시 30분까지)",False,False,0,False,275,,,
152645,2026년 랜선나눔캠퍼스(AI코딩 학습멘토링) 대학생 선발 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152645&article.offset=0&articleLimit=10,2026.06.04,"서울시와 KT가 함께 운영하는
「랜선나눔캠퍼스(AI코딩 학습멘토링)」
사업에 참여할 컴퓨터공학과 학생을 모집합니다.
AI·SW 전공 지식을 활용하여 중학생 대상 온라인 멘토링을 진행하고, AI 활용 역량 교육(AICE Future 과정)도 함께 이수할 수 있는 프로그램입니다.
■ 활동 내용
수도권 외 지역 중학생 대상 온라인 AI코딩 멘토링
대학생 멘토 1명 : 중학생 2명 매칭
KT 자체 플랫폼 활용
AI 기초 및 AI 모델 제작 실습 지도
■ 활동 기간
2026년 7월 ~ 8월 (5주)
총 20시간 운영
주 2회, 회당 2시간
■ 활동 혜택
멘토 활동비 지급
(시간당 30,000원)
AI 활용능력 평가시험(AICE Future) 교육 제공
AI 교육 및 멘토링 경험 획득
■ 지원 자격
컴퓨터공학과 재학생(1~3학년) 또는 휴학생
AI·SW 관련 전공자
성실하게 활동 가능한 학생
※ 4학년 및 졸업예정자 제외
■ 신청 방법
참여를 희망하는 학생은 첨부파일에 있는 지원서를 작성하고
학과사무실(T704)
로 방문하셔서
6월 11일(목)까지
아래 내용을 제출 바랍니다.
※ 경제적 어려움을 겪고 있는 학생(국가장학금 수혜 대상자 등) 우대

[이미지 OCR 내용]
랜선나눔캠퍼스 AI코딩 멘토 모집

[모집 안내]
• 모집 기간 : 2026년 5-6월 중(* 학교별로 상이하오니, 학교별 공지 참고)
• 모집 대상 : 서울권 협력 대학교 중 AI·SW 관련 학과 재학생 및 휴학생
• 지원 방법 : 소속 대학교에 지원서 제출
• 지원 문의 : 각 학교 담당 부서

[활동 안내]
• 교육 대상 : 중학생 1~3학년
• 교육 내용 : 비대면 AI코딩 교육(AICE Future 2급 과정 & AI코딩 프로젝트 코칭)
• 교육 기간 : 2026년 7월~9월(*QR 참고)
• 참여 혜택 : 멘토 활동비(시간당 3만원)
  * 프로젝트 우수 그룹 서울시장상 수여 기회 제공
• 활동 문의 : KT그룹희망나눔재단
  (카카오채널 @랜선나눔캠퍼스 / T. 02-3414-2079)",False,True,1,True,996,,,
152634,2026학년도 1학기 학생 포상 대상자 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152634&article.offset=0&articleLimit=10,2026.06.04,"2026학년도 1학기 학생
포상
대상자 추천 관련 안내드립니다.
교외 공모전 및 대회 수상자에 대해 학생상벌위원회에서 심의하여
포상
하고자 하오니
각 학과(부)에서는 아래와 같이
포상
대상자를 추천하여 주시기 바랍니다.
1.
포상
대상: 2025.12.1~2026.5.31(수상일 기준) 교외 공모전 및 대회 수상자로
국제대회 1~4위 또는 국내대회 1~3위에 입상한 본교 학부생
(*전공과 무관한 UCC공모전, 홍보대사, 교육 참가, 동아리/친목 활동 등은 제외)
2. 제출 서류:
①
학생
포상
대상자 추천 공적조서
(
붙임1)
② 대회 포스터
③
상장 사본
④
대회 요강 및 대회 결과
(전체
참가팀 수
, 전체 순위, 전체 상금 내역 기재,
시상내역 확인가능한 증빙 자료)
⑤
대회
보도 자료
3. 제출 기한 및 방법:
6
.15(월) 17시까지
학생
포상
자의
증빙서류 원본
은
T704호 학과사무실
로 제출
또는 학과이메일
give100021@hongik.ac.kr
로 압축해서 파일명 :  ""학번_이름_학생포상대상자"" 형식으로 제출",False,False,0,False,528,,,
152326,오승환 및 동문장학금 신청 안내,https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152326&article.offset=0&articleLimit=10,2026.05.29,"2026학년도 1학기 오승환 및 동문장학금 신청 관련하여 안내드립니다.
학업성적이 우수하고 경제적 지원이 필요한 학생들은 아래와 같이 신청하시기 바랍니다.
선발 인원: 4명
장학지급금액: 1,000,000원 (금 일백만원)
신청 마감: 6월 5일(금) 23시 59분까지
제출 서류: 신청서, 신청사유서, 소득분위증명서 (신청서,
신청사유서 양식은 첨부파일 참조)
제출 방식: 이메일 (
bluezone4508@hongik.
ac.kr
)
※ 유의사항 ※
- 신청서에 장학금 수혜 이력 작성 필수
- 항목 미기재 및 날인 없을 시 미접수
- 접수 마감은 메일 수신시간 기준
- 심사 및 지급일: 6월 중 (수혜 선정자만 개별 연락 예정)",False,False,0,False,355,,,
152306,"2026학년도 신입생, 편입생 기념품(텀블러) 지급 안내",https://wwwce.hongik.ac.kr/wwwce/0401.do?mode=view&articleNo=152306&article.offset=0&articleLimit=10,2026.05.29,"2026학년도 신입생 및 편입생 대상 기념품(텀블러) 지급 안내드립니다.
아래 장소로 방문하여 수령 명부 서명 후 기념품을 수령하시기 바랍니다.
수령 장소 : 멀티미디어실 T604호
수령 일자 : 5월 29일(금) - 6월 5일(금) 오전 12시까지
수령 방법 : 지급 명부 서명 후 수령 / 신분증 지참 필수
대상 : 2026학년도 신입생 및 편입생
※ 기념품 수령 시 반드시 본인 확인 및 서명이 필요합니다.
※ 미수령 학생은 가능한 빠른 시일 내 방문 바랍니다.",False,False,0,False,261,,,
