article_no,title,category
153681,"2026학년도 2학기 복수전공, 부전공, 융합전공, 미세전공 신청 안내",학사
153647,"2026학년도 2학기 주전공 신청 및 변경,  자율전공 학생의 학과진입 신청 안내",학사
153380,2026학년도 하계계절학기 사이버강좌 출석 및 수강방법 안내,학사
153281,2026년 7월 각 군 현역병 모집계획,학사
153273,(서울캠퍼스) 2026 하계 계절학기 폐강과목 공지 및 수강철회/환불신청 안내(~6.23 화 16시까지),학사
153095,[SIEMENS-PACE센터] 2026 NX소프트웨어 하계 계절학기 집중교육과정 운영,학사
152433,2026학년도 1학기 성적조회 안내,학사
152390,[세종캠퍼스] 2026학년도 2학기 재입학 추가 접수 안내(학부),학사
152386,2026 여름학기 교내외국어과정 모집[토익/토익스피킹/토플],학사
151812,2026학년도 1학기 사이버강좌 기말고사 시행안내,학사
151810,2026학년도 1학기 강의평가 시행 안내,학사
151808,2026학년도 1학기 핵심역량진단검사 안내,학사
151277,(서울캠퍼스) 2026학년도 하계 계절학기 일정 안내,학사
150819,2026학년도 2학기 재입학 신청 안내(학부생)(5.18~5.29 16:00),학사
150675,2026년 교내 모의토익 & 토익스피킹 공지,학사
150260,2026학년도 1학기 사이버강좌 중간고사 시행안내,학사
150192,2026학년도 1학기 강의중간평가 시행 안내,학사
149790,2027학년도 전과 전형 안내(수정),학사
149608,[전학년 필독] (서울캠퍼스)2026학년도 1학기 폐강 강좌 안내,학사
149143,2026학년도 1학기 학점포기 신청 안내,학사
149140,2026학년도 1학기 재수강 선삭제 신청 안내,학사
149078,"2026학년도 1학기 교내 외국어과정 [토익,토플,토스] 대면 및 비대면 강좌 안내",학사
148977,[학부생] 2026학년도 1학기 추가 휴학 및 휴학 연장 신청 안내 (3.12~3.16),학사
148831,2026학년도 1학기 사이버강좌 시험장소 선택 안내,학사
148801,2026학년도 1학기 사이버강좌 출석 및 수강방법 안내,학사
148736,2026학년도 1학기 등록금 분할납부 추가신청안내 (학부) (최종),학사
148527,"2026학년도 1학기 교양학점 초과자 및 학기초과자 수강신청, 등록 안내(학부)",학사
148472,[학부] 2026학년도 폭력예방교육 이수에 따른 사회봉사 시간 인정 제도 폐지 안내,학사
148358,2026학년도 학생증 신청안내,학사
148167,2026-1학기 최종 복학 및 휴학(연장) 신청 안내,학사
148166,2026학년도 1학기 등록금 분할납부 신청안내(학부),학사
148107,2026학년도 1학기 학기재수강 추가 신청 안내,학사
147880,2026학년도 교직과정 이수신청서 접수안내,학사
147861,2026학년도 1학기 수강신청 부정행위 관리 시행 안내,학사
147833,재병역판정검사 일자 및 장소 본인선택 안내,학사
147615,2026학년도 신입생 입학식 안내,학사
147535,2026-1학기 복학‧휴학 신청 안내_ 자주 묻는 QnA,학사
147534,"2026-1학기 복학‧휴학 신청 안내_ 문의처, 반드시 알아야 할 사항(전학년 필독), 주요 학사일정, 휴/복학 신청 방법",학사
147514,2026학년도 1학기 학기재수강 신청 안내,학사
147199,2025학년도 동계계절학기 성적조회 안내,학사
146980,2026학년도 1학기 ​학·석사 연계과정 모집,학사
146917,2025학년도 동계계절학기 사이버강좌 기말고사 시행 안내,학사
146905,2026학년도 1학기 공연예술 융합전공 신청 안내,학사
146861,"(세종캠퍼스)2026학년도 1학기 주전공 선택 및 변경, 자율전공 학생의 학과진입 신청 안내",학사
146855,"2026학년도 1학기 복수전공, 부전공, 융합전공, 미세전공 신청 안내",학사
146851,"(서울캠퍼스) 2026학년도 1학기 주전공 신청 및 변경,  자율전공 학생의 학과진입 신청 안내",학사
146799,"[신입생 필독] 학적변동(군휴학, 휴학, 제적, 전과, 재입학 등) 안내",학사
146669,2025학년도 동계계절학기 사이버강좌 출석 및 수강방법 안내,학사
146471,(세종캠퍼스) 2025 동계 계절학기 폐강과목 공지 및 수강철회/환불신청 안내(~12.22 16시까지),학사
146466,(서울캠퍼스) 2025 동계 계절학기 폐강과목 공지 및 수강철회/환불신청 안내(~12.22 16시까지),학사
146261,2026학년도 전과 면접전형 안내(세종캠퍼스),학사
146258,2026학년도 전과 면접전형 안내(서울캠퍼스),학사
145807,2025학년도 2학기 성적조회 안내,학사
145568,★신입생 반드시 필독★학번 확인/클래스넷 로그인★ 2026학년도 신입생 수강신청 안내,학사
145565,2026학년도 전과 전형 시행 안내,학사
145564,"[신입생, 전학년 필독] 2026학년도 1학기 개강 후 주요 안내-수강정정/수강철회/폐강",학사
145561,[전학년 필독] 2026-1학기 수강신청 안내- 수강신청/정정/철회 관련 자주 묻는 사항(Q&A) ③,학사
145556,"[전학년 필독] 2026-1학기 수강신청 안내- 수강신청, 정정, 철회, 폐강정정 방법 ②",학사
145555,"[전학년 필독] 2026-1학기 수강신청 안내- 문의처, 전학년 알아야할 사항, 주요 학사일정 ①",학사
145381,[세종캠퍼스] 2026학년도 1학기 재입학 추가 접수 안내(학부),학사
145155,2025학년도 2학기 사이버강좌 기말고사 시행 안내,학사
145123,2025학년도 2학기 핵심역량진단검사 안내,학사
145122,2025학년도 2학기 강의평가 시행 안내,학사
144675,(세종캠퍼스) 2025학년도 동계 계절학기 일정 안내,학사
144615,(서울캠퍼스) 2025학년도 동계 계절학기 일정 안내,학사
143926,2025학년도 2학기 계열별 주임교수 정기 간담회(서울캠퍼스 자율전공),학사
143531,2026학년도 1학기 재입학 신청 안내(학부생)(10.20~11.18 16:00),학사
143308,2025학년도 2학기 사이버강좌 중간고사 시행 안내,학사
143216,2025학년도 2학기 강의중간평가 시행 안내,학사
142439,[전학년 필독] (세종캠퍼스)2025학년도 2학기 폐강 강좌 안내,학사
142432,[전학년 필독] (서울캠퍼스)2025학년도 2학기 폐강 강좌 안내,학사
141599,2025학년도 2학기 재수강 선삭제 신청 안내,학사
141596,2025학년도 2학기 학점포기 신청 안내,학사
141480,2025학년도 2학기 등록금 분할납부 추가신청안내 (학부) (최종),학사
141180,2025학년도 2학기 사이버강좌 시험장소 선택 안내,학사
141154,2025학년도 2학기 사이버강좌 출석 및 수강방법 안내,학사
140906,2025학년도 학생증 신청안내,학사
140802,2025학년도 2학기 수강신청 부정행위 관리 시행 안내,학사
140654,"2025학년도 2학기 교양학점 초과자 및 학기초과자 수강신청, 등록 안내(학부)",학사
140651,[세종] 2025학년도 2학기 사회봉사 신청 안내,학사
140231,2025학년도 2학기 군이러닝 수강신청 안내,학사
140129,[전학년 필독] 2025-2학기 수강신청 안내- 수강신청/정정/철회 관련 자주 묻는 사항(Q&A) ③,학사
140128,"[전학년 필독] 2025-2학기 수강신청 안내- 수강신청, 정정, 철회, 폐강정정 방법 ②",학사
140125,"[전학년 필독] 2025-2학기 수강신청 안내- 문의처, 전학년 알아야할 사항, 주요 학사일정 ①",학사
140085,2025학년도 2학기 등록금 분할납부 신청안내(학부),학사
139865,2025학년도 2학기 학기재수강 추가 신청 안내,학사
139490,2025학년도 2학기 학기재수강 신청 안내,학사
139470,2025년 SIEMENS-PACE센터 하계 계절학기 (NX공학소프트웨어 특강) (~7월17일까지),학사
139433,2025년 SIEMENS-PACE센터 하계 계절학기 (NX공학소프트웨어 특강) (~17시까지),학사
139414,(학부생)2025학년도 2학기 복학‧휴학 및 휴학 연장 신청 안내,학사
139227,2025학년도 2학기 ​학·석사 연계과정 모집,학사
139169,2025학년도 하계계절학기 사이버강좌 기말고사 시행 안내,학사
139162,2025학년도 하계계절학기 성적조회 안내,학사
139066,2025년 SIEMENS-PACE센터 하계 계절학기 (NX공학소프트웨어 특강),학사
139056,2025학년도 2학기 공연예술 융합전공 신청 안내,학사
139008,2025학년도 2학기 주전공 신청 및 변경 안내 (세종캠퍼스),학사
138909,2025학년도 2학기 주전공 신청 및 변경 안내 (서울캠퍼스),학사
138906,"2025학년도 2학기 복수전공, 부전공, 융합전공, 미세전공 신청 안내",학사
138834,(서울캠퍼스) 2025 하계 계절학기 부분환불 신청 안내(~7.1),학사
138402,2025학년도 하계계절학기 사이버강좌 출석 및 수강방법 안내,학사
138071,(세종캠퍼스) 2025 하계 계절학기 폐강과목 공지 및 수강철회/환불신청 안내(~6.24 16시까지),학사
