article_no,title,url,date,category
153681,"2026학년도 2학기 복수전공, 부전공, 융합전공, 미세전공 신청 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153681&article.offset=0&articleLimit=10&noCat=500,2026.07.01,학사
153647,"2026학년도 2학기 주전공 신청 및 변경,  자율전공 학생의 학과진입 신청 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153647&article.offset=0&articleLimit=10&noCat=500,2026.07.01,학사
153611,[취업진로지원센터] 코멘토 온라인 현직자 멘토링 서비스 오픈 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153611&article.offset=0&articleLimit=10&noCat=396,2026.07.01,취업/인턴
153568,홍익대학교 영자신문사 Tidings에서 신입기자와 편집 디자이너를 모집합니다!,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153568&article.offset=0&articleLimit=10&noCat=514,2026.06.30,학생활동
153561,[서울 학부생] 2026-1학기 학생 포상 추천 접수(~7.2(목)까지 기한연장),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153561&article.offset=0&articleLimit=10&noCat=514,2026.06.30,학생활동
153548,표준현장실습 참여학생 모집 안내 (2026학년도 2학기 정규학기),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153548&article.offset=0&articleLimit=10&noCat=396,2026.06.29,취업/인턴
153541,기간제 한국어교원 모집[홍익대학교 국제언어교육원],https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153541&article.offset=0&articleLimit=10&noCat=35,2026.06.29,취업/인턴
153539,국제언어교육원 행정실 조교(일본어권 담당) 채용 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153539&article.offset=0&articleLimit=10&noCat=35,2026.06.29,취업/인턴
153538,⭐D-1⭐ HI학습멘토랑 프로그램 멘토 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153538&article.offset=10&articleLimit=10&noCat=514,2026.06.29,학생활동
153444,입학관리본부 입학사정관실 입학사정관(계약직) 모집(~7/5(일) 24:00까지),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153444&article.offset=20&articleLimit=10&noCat=35,2026.06.24,취업/인턴
153380,2026학년도 하계계절학기 사이버강좌 출석 및 수강방법 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153380&article.offset=20&articleLimit=10&noCat=500,2026.06.23,학사
153315,[종근당] 2026년 종근당고촌재단 무상기숙사 장학생 모집 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153315&article.offset=30&articleLimit=10&noCat=501,2026.06.22,장학/근로
153313,[외부장학] 2026년 오픈갤러리 장학생 선발 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153313&noCat=379,2026.06.22,장학/근로
153312,[외부장학] 3.1문화재단 장학생 모집 공고(박사과정),https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153312&noCat=379,2026.06.22,장학/근로
153306,[서울/취업진로지원센터] 2026년 7월 취업(진로) 대면 1:1집중컨설팅 일정 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153306&article.offset=30&articleLimit=10&noCat=396,2026.06.22,취업/인턴
153288,[서울/취업진로지원센터] 2026년 7월 READ 진로상담 일정 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153288&article.offset=40&articleLimit=10&noCat=396,2026.06.19,취업/인턴
153281,2026년 7월 각 군 현역병 모집계획,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153281&article.offset=40&articleLimit=10&noCat=500,2026.06.19,학사
153273,(서울캠퍼스) 2026 하계 계절학기 폐강과목 공지 및 수강철회/환불신청 안내(~6.23 화 16시까지),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153273&article.offset=40&articleLimit=10&noCat=500,2026.06.19,학사
153236,[조교채용] 교무처 학사지원팀 조교 모집 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153236&article.offset=40&articleLimit=10&noCat=35,2026.06.18,취업/인턴
153168,[취업진로지원센터] 인바디 2026년 상반기 채용 홍보 커피차 운영,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153168&article.offset=50&articleLimit=10&noCat=396,2026.06.17,취업/인턴
153122,[HUSS x 대전세종관광공사] 트래블런 창업캠프 신청 안내(~7.01) ✨교육기간 중 기숙사 제공✨,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153122&article.offset=50&articleLimit=10&noCat=514,2026.06.16,학생활동
153095,[SIEMENS-PACE센터] 2026 NX소프트웨어 하계 계절학기 집중교육과정 운영,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153095&article.offset=50&articleLimit=10&noCat=500,2026.06.16,학사
153047,"2026년 하반기 국내과정 ICT 학점연계 프로젝트 인턴십 실습생(학생) 모집 안내(~7/8(수), 12:00)",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153047&article.offset=50&articleLimit=10&noCat=396,2026.06.15,취업/인턴
153046,2026학년도 2학기(가을학기) 「서울영커리언스 인턴십」참여자 모집 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153046&article.offset=50&articleLimit=10&noCat=396,2026.06.15,취업/인턴
153003,[재공지] 2026 한국장학재단 박사우수장학생(이공계) 모집 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153003&noCat=379,2026.06.12,장학/근로
152968,"[마포청년창업취업지원센터 나루] 첫인상을 바꾸는 취업 전략, 퍼스널컬러 특강 (~6/19)",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152968&article.offset=60&articleLimit=10&noCat=396,2026.06.11,취업/인턴
152963,[서울/취업진로지원센터] YBM 토익스피킹(TOEIC Speaking) 정기시험 응시료 할인 제공 혜택 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152963&article.offset=60&articleLimit=10&noCat=396,2026.06.11,취업/인턴
152958,[산학협력재단] 2026 국내 외국인 근로자 자녀 장학금 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152958&article.offset=70&articleLimit=10&noCat=501,2026.06.11,장학/근로
152956,"[국가정보원]  2026 하반기 공채 채용설명회 (7/22, 수)",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152956&article.offset=70&articleLimit=10&noCat=396,2026.06.11,취업/인턴
152953,[서울/취업진로지원센터] 한국중부발전(주) 서울발전본부 「KOMIPO-러닝메이트」 모집 공고 (~6/17 24:00),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152953&article.offset=70&articleLimit=10&noCat=396,2026.06.11,취업/인턴
152926,[부마민주항쟁기념재단] 2026년 장학생 모집 공고 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152926&article.offset=70&articleLimit=10&noCat=501,2026.06.10,장학/근로
152869,[한국소아당뇨인협회] 2027학년도 소아청소년 당뇨인 푸른빛 희망 장학금 지원 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152869&article.offset=70&articleLimit=10&noCat=501,2026.06.10,장학/근로
152863,[취업진로지원센터 동문 졸업생 멘토 풀(Pool) 참여 희망자 모집],https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152863&article.offset=80&articleLimit=10&noCat=396,2026.06.10,취업/인턴
152852,[롯데장학재단] 2026년 신격호 롯데 취업준비생 장학사업 장학생 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152852&article.offset=80&articleLimit=10&noCat=500,2026.06.09,학사
152844,[홍보] ❗참가비 무료❗코원 취업캠프(21기) 참여자 모집 안내(~6/19 24:00),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152844&article.offset=80&articleLimit=10&noCat=396,2026.06.09,취업/인턴
152818,[홍보] SK미래역량 프로그램 써니C 5기 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152818&article.offset=80&articleLimit=10&noCat=514,2026.06.09,학생활동
152813,[홍보] 2026 제 6회 3D 모델링 디자인 공모전,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152813&article.offset=80&articleLimit=10&noCat=514,2026.06.09,학생활동
152753,2026년 8월 조기졸업 신청서 제출 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152753&article.offset=80&articleLimit=10&noCat=500,2026.06.08,학사
152749,[홍대신문사] 제51회 홍대 학‧예술상 작품 현상 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152749&article.offset=90&articleLimit=10&noCat=514,2026.06.08,학생활동
152702,2026년 소선나눔기금 과학기술 미래인재 장학생 모집 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152702&article.offset=90&articleLimit=10&noCat=501,2026.06.05,장학/근로
152444,[서울 학부생] 2026-1학기 학생 포상 추천 접수,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152444&article.offset=90&articleLimit=10&noCat=514,2026.06.02,학생활동
152433,2026학년도 1학기 성적조회 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152433&article.offset=90&articleLimit=10&noCat=500,2026.06.02,학사
152392,"[국제언어교육원] 2026학년도 여름 학기 정규 어학(대체강좌,맞춤형,영어집중과정,토익관련) 강좌 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152392&noCat=23,2026.06.01,학사
152390,[세종캠퍼스] 2026학년도 2학기 재입학 추가 접수 안내(학부),https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152390&noCat=23,2026.06.01,학사
