article_no,title,url,date,category
154052,[KOSA] 한국인공지능소프트웨어산업협회 회원사 채용연계형 교육과정 7월 교육생 모집,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=154052&article.offset=0&articleLimit=10,2026-07-10,취업/인턴
154051,[KT] 2027년도 봄학기 KT AI석사과정 신입생 모집(~7/20(월) 16시까지),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=154051&article.offset=0&articleLimit=10,2026-07-10,취업/인턴
154050,2026년 하반기 에스이에이 외국인 유학생 상시채용,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=154050&article.offset=0&articleLimit=10,2026-07-10,취업/인턴
154049,[키움증권] 키움 디지털 아카데미 5기생 모집 홍보 (~8/4),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=154049&article.offset=0&articleLimit=10,2026-07-10,취업/인턴
153909,「2026 블록체인 밋업데이(BCMD)」 15회차 교육생 모집,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153909&article.offset=0&articleLimit=10,2026-07-07,취업/인턴
153908,[한국로봇융합연구원] 2026년 3차 정기채용,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153908&article.offset=0&articleLimit=10,2026-07-07,취업/인턴
153907,[제일약품/ 제일헬스사이언스] 7월 인재모집,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153907&article.offset=0&articleLimit=10,2026-07-07,취업/인턴
153906,[Let's Grow with LG전자] 2026 K-뉴딜 아카데미 모집 (~7/13 월),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153906&article.offset=0&articleLimit=10,2026-07-07,취업/인턴
153904,「2026 블록체인 밋업데이(BCMD)」 14회차 교육생 모집,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153904&article.offset=0&articleLimit=10,2026-07-07,취업/인턴
153903,[SBS A&T] 2026년 SBS A&T 신입사원 공개채용 (~7/19 18시까지),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153903&article.offset=0&articleLimit=10,2026-07-07,취업/인턴
153617,[동진쎄미켐] 2026년 7월 신입/경력 정기채용 (~7/9),https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153617&article.offset=0&articleLimit=10,2026-07-01,취업/인턴
153616,[무료취업교육] 고용노동부 AI캠퍼스 AI 분야 취업연계 과정 안내,https://wwwce.hongik.ac.kr/wwwce/0402.do?mode=view&articleNo=153616&article.offset=0&articleLimit=10,2026-07-01,취업/인턴
