article_no,title,url,date,category
153681,"2026학년도 2학기 복수전공, 부전공, 융합전공, 미세전공 신청 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153681&article.offset=0&articleLimit=10&noCat=500,2026.07.01,학사
153647,"2026학년도 2학기 주전공 신청 및 변경,  자율전공 학생의 학과진입 신청 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153647&article.offset=0&articleLimit=10&noCat=500,2026.07.01,학사
153611,[취업진로지원센터] 코멘토 온라인 현직자 멘토링 서비스 오픈 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153611&article.offset=0&articleLimit=10&noCat=396,2026.07.01,취창업
153568,홍익대학교 영자신문사 Tidings에서 신입기자와 편집 디자이너를 모집합니다!,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153568&article.offset=0&articleLimit=10&noCat=514,2026.06.30,학생활동
153561,[서울 학부생] 2026-1학기 학생 포상 추천 접수(~7.2(목)까지 기한연장),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153561&article.offset=0&articleLimit=10&noCat=514,2026.06.30,학생활동
153548,표준현장실습 참여학생 모집 안내 (2026학년도 2학기 정규학기),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153548&article.offset=0&articleLimit=10&noCat=396,2026.06.29,취창업
153544,2027학년도 1학기 해외대학 파견 Outbound 교류학생 지원자 모집 및 선발(~26년 7월 20일 월 16시),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153544&article.offset=0&articleLimit=10&noCat=514,2026.06.29,학생활동
153541,기간제 한국어교원 모집[홍익대학교 국제언어교육원],https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153541&article.offset=0&articleLimit=10&noCat=35,2026.06.29,채용/모집
153539,국제언어교육원 행정실 조교(일본어권 담당) 채용 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153539&article.offset=0&articleLimit=10&noCat=35,2026.06.29,채용/모집
153538,⭐D-1⭐ HI학습멘토랑 프로그램 멘토 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153538&article.offset=10&articleLimit=10&noCat=514,2026.06.29,학생활동
153531,[바이오헬스 혁신융합대학] 2026-2학기 학사일정 및 수강신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153531&article.offset=10&articleLimit=10&noCat=29,2026.06.29,일반
153524,2026학년도 후기 수시전형 대학원 신입생 모집 (군위탁전형 포함),https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153524&noCat=381,2026.06.29,입시
153445,"(제26-14호)서울캠퍼스 26-1차 교육환경개선 4개학과(부서) 강의실 책상,의자 구입",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153445&article.offset=20&articleLimit=10&noCat=36,2026.06.24,입찰
153444,입학관리본부 입학사정관실 입학사정관(계약직) 모집(~7/5(일) 24:00까지),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153444&article.offset=20&articleLimit=10&noCat=35,2026.06.24,채용/모집
153420,병역판정검사 받은 해 입영희망자(2007년생)  현역병 입영 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153420&article.offset=20&articleLimit=10&noCat=29,2026.06.24,일반
153412,[모집]대학교육혁신사업 2026학년도 하계 AICE 교육과정(자격인증시험 연계) 참가자 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153412&article.offset=20&articleLimit=10&noCat=513,2026.06.24,대학교육혁신사업단
153399,2026학년도 1학기 학생 포상 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153399&noCat=383,2026.06.23,기타
153380,2026학년도 하계계절학기 사이버강좌 출석 및 수강방법 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153380&article.offset=20&articleLimit=10&noCat=500,2026.06.23,학사
153349,2026 건축도시대학 건축학부 졸업전시회 개최,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153349&article.offset=30&articleLimit=10&noCat=29,2026.06.22,일반
153346,[정보전산원] 2026-1 하계 방학 중 컴퓨터 특강 진행 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153346&article.offset=30&articleLimit=10&noCat=29,2026.06.22,일반
153343,홍익대학교 세종캠퍼스 종합체육관 산학협력 공간 신규 입주 기업 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153343&article.offset=30&articleLimit=10&noCat=36,2026.06.22,입찰
153320,2026학년도 2학기 재입학 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153320&noCat=380,2026.06.22,학적
153319,2026학년도 2학기 ​석·박사학위통합과정 전환 및 포기 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153319&noCat=380,2026.06.22,학적
153315,[종근당] 2026년 종근당고촌재단 무상기숙사 장학생 모집 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153315&article.offset=30&articleLimit=10&noCat=501,2026.06.22,장학
153314,[도서관] 2026학년도 서평쓰기대회 안내(1등 상금 80만원) ★기간연장 재안내★,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153314&article.offset=30&articleLimit=10&noCat=29,2026.06.22,일반
153313,[외부장학] 2026년 오픈갤러리 장학생 선발 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153313&noCat=379,2026.06.22,장학
153312,[외부장학] 3.1문화재단 장학생 모집 공고(박사과정),https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=153312&noCat=379,2026.06.22,장학
153306,[서울/취업진로지원센터] 2026년 7월 취업(진로) 대면 1:1집중컨설팅 일정 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153306&article.offset=30&articleLimit=10&noCat=396,2026.06.22,취창업
153302,2026학년도 1학기 강의개선보고서(CQI) 입력 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153302&article.offset=40&articleLimit=10&noCat=33,2026.06.22,교강사
153288,[서울/취업진로지원센터] 2026년 7월 READ 진로상담 일정 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153288&article.offset=40&articleLimit=10&noCat=396,2026.06.19,취창업
153287,2026학년도 2학기 Inbound 교류학생 버디 모집(서울캠퍼스) (~2026.7.6.(월)),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153287&article.offset=40&articleLimit=10&noCat=514,2026.06.19,학생활동
153281,2026년 7월 각 군 현역병 모집계획,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153281&article.offset=40&articleLimit=10&noCat=500,2026.06.19,학사
153273,(서울캠퍼스) 2026 하계 계절학기 폐강과목 공지 및 수강철회/환불신청 안내(~6.23 화 16시까지),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153273&article.offset=40&articleLimit=10&noCat=500,2026.06.19,학사
153268,[신한은행] 금융서비스 일시중단(7/19),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153268&article.offset=40&articleLimit=10&noCat=29,2026.06.19,일반
153258,[교수학습지원센터(서울)]학습법 워크숍(바이브 코딩1~2),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153258&article.offset=40&articleLimit=10&noCat=511,2026.06.19,교수학습지원
153243,홍익 메이커스페이스 여름방학 특강 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153243&article.offset=40&articleLimit=10&noCat=29,2026.06.18,일반
153236,[조교채용] 교무처 학사지원팀 조교 모집 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153236&article.offset=40&articleLimit=10&noCat=35,2026.06.18,채용/모집
153168,[취업진로지원센터] 인바디 2026년 상반기 채용 홍보 커피차 운영,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153168&article.offset=50&articleLimit=10&noCat=396,2026.06.17,취창업
153159,[모집] 홍익챌린지 13기(2026학년도 제2학기) 참가학생 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153159&article.offset=50&articleLimit=10&noCat=513,2026.06.17,대학교육혁신사업단
153152,하계방학 중 단축 근무 시행 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153152&article.offset=50&articleLimit=10&noCat=29,2026.06.17,일반
153122,[HUSS x 대전세종관광공사] 트래블런 창업캠프 신청 안내(~7.01) ✨교육기간 중 기숙사 제공✨,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153122&article.offset=50&articleLimit=10&noCat=514,2026.06.16,학생활동
153095,[SIEMENS-PACE센터] 2026 NX소프트웨어 하계 계절학기 집중교육과정 운영,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153095&article.offset=50&articleLimit=10&noCat=500,2026.06.16,학사
153066,[대학혁신지원사업] 2026-하계 교과연계 워크숍 참여 학생 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153066&article.offset=50&articleLimit=10&noCat=511,2026.06.15,교수학습지원
153047,"2026년 하반기 국내과정 ICT 학점연계 프로젝트 인턴십 실습생(학생) 모집 안내(~7/8(수), 12:00)",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153047&article.offset=50&articleLimit=10&noCat=396,2026.06.15,취창업
153046,2026학년도 2학기(가을학기) 「서울영커리언스 인턴십」참여자 모집 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=153046&article.offset=50&articleLimit=10&noCat=396,2026.06.15,취창업
